15200199	205	165	130	Maeandrina-Schichten
15200200	200	170	130	Gisliflue-Korallenkalk
15200201	205	165	130	Untere Acuminata-Schichten
15200202	180	150	120	Parkinsoni-Schichten
15200203	160	130	110	Dewalquei-Kalk
15200204	160	130	110	Brot-Schichten
15200205	160	130	110	Comptum-Bank
15200206	250	190	165	Seebi-Member
15200207	250	190	165	Gruhalde-Member
15200208	250	190	165	Berlingen-Member
15200209	250	190	165	Gansingen-Member
15200210	250	190	165	Ergolz-Member
15200211	250	190	95	Kaisten-Bank
15200212	250	175	80	Eptingen-Member
15200213	250	165	75	Dünnlenberg-Bank
15200214	250	165	75	Saalhof-Bank
15200215	250	165	75	Fützen-Bank
15200216	245	150	60	Dolomitzone
15200217	185	125	90	Oberer Schuttfächer
15200218	185	125	90	Playa-Serie
15200219	185	125	90	Unterer Schuttfächer
15200220	220	110	115	Spät- bis postvariszische Intrusiva des Schwarzwaldes
15200221	200	115	80	Permo-Karbon der NW-Schweiz
15200222	220	110	115	Stockberg-Quarzporphyr
15200223	220	110	115	Bärhalde-Granit
15200224	220	110	115	Schluchsee-Granit
15200225	220	110	115	Säckingen-Granit
15200226	165	185	165	Jüngere Flussablagerungen
15200227	165	185	165	Seeablagerungen
15200228	165	185	165	Ältere Flussablagerungen
15200229	165	185	165	Kohle-Serie
15200230	220	90	120	Frühvariszische Intrusiva des Schwarzwaldes
15200231	220	90	120	Albtal-Granit
15200232	220	90	120	Malsburg-Granit
15200233	220	90	120	Blauen-Granit
15200234	220	90	120	Klemmbach-Granit
15200235	220	90	120	Randgranit
15200236	220	90	120	Münsterhalden-Granit
15200237	220	90	120	Schönau-Herrenschwand-Granit
15200238	220	90	120	St.-Blasien-Granit
15200239	220	90	120	Mambach-Granit
15200240	220	90	120	Lenzkirch-Steina-Granit
15200241	220	90	120	Hauenstein-Granit
15200242	220	90	120	Böttstein-Granit
15200243	140	160	130	Prä- und frühvariszische Sedimente und Vulkanite des Schwarzwaldes
15200244	140	160	130	Schiefer und Grauwacken
15200245	250	210	210	Prävariszisches polyzyklisches Grundgebirge des Schwarzwaldes
15200246	245	160	145	Orthogneise des Schwarzwaldes
15200247	245	160	145	Todtmoos-Horbach-Gneiskomplex
15200248	245	160	145	Murgtal-Gneiskomplex
15200249	245	160	145	Laufenburg-Gneiskomplex
15200250	250	190	175	Migmatite des Schwarzwaldes
15200251	250	190	175	Wiesen-Wehratal-Komplex
15200252	250	190	175	Wehratal-Syenit
15200253	80	170	120	Grüngesteine des Schwarzwaldes
15200254	250	250	75	Molasse
15200255	255	230	180	Obere Süsswassermolasse (OSM)
15200256	255	230	180	Tannenberg-Schichten
15200257	255	230	180	Pfänder-Schichten
15200258	255	230	180	Napf-Formation
15200259	120	100	80	Blapbach-Kohlflöz
15200260	255	230	180	Eimätteli-Member
15200261	245	235	180	Schüpferegg-Nagelfluh
15200262	255	230	195	OSM-II
15200263	110	140	120	Hegau-Vulkanite
15200264	70	175	130	Hegau-Basalt
15200265	80	170	120	Hegau-Phonolith
15200266	110	140	120	Hegau-Deckentuffe
15200267	255	230	195	Hörnligipfel-Nagelfluh
15200268	255	230	195	Höchegg-Brekzie
15200269	255	230	195	Hörnligubel-Mergel
15200270	255	230	195	Tösswald-Schichten
15200271	240	220	220	Bischofzell-Bentonit
15200272	255	230	195	Öhningen-Zone im Hörnligebiet
15200273	255	230	195	Krinau-Schichten
15200274	255	230	195	Glimmersandstein-Formation
15200275	210	220	230	Fellitobel-Süsswasserkalk
15200276	255	230	195	Uetliberg-Schichten
15200277	255	230	195	Uetliberggipfel-Nagelfluh
15200278	255	230	195	Uetliberg-Mergel
15200279	255	230	195	Falätschen-Mergel
15200280	255	230	195	Pfannenstiel-Schichten
15200281	255	230	195	Zürich-Schichten
15200282	240	220	220	Leimbach-Bentonit
15200283	210	220	230	Rütschlibach-Riedhof-Süsswasserkalk
15200284	240	220	220	Winterthur-Bentonit
15200285	240	220	220	Aeugstertal-Bentonit
15200286	210	220	230	Äntlisberg-Doldertobel-Süsswasserkalk
15200287	210	220	230	Wehrenbach-Höckler-Süsswasserkalk
15200288	240	220	220	Küsnacht-Bentonit
15200289	240	220	220	Urdorf-Bentonit
15200290	255	230	180	Appenzellergranit-Leitniveau
15200291	255	230	180	Abtwil-Konglomerat
15200292	255	230	180	Hüllistein-Konglomerat
15200293	255	230	180	Degersheim-Kalknagelfluh
15200294	255	230	180	Meilen-Kalk
15200295	255	225	165	OSM-I
15200296	255	225	165	Lichtensteig-Schichten
15200297	255	230	195	Hörnli-Formation
15200298	255	225	165	Guggershorn-Formation
15200299	210	220	230	Horgen-Käpfnach-Süsswasserkalk
15200300	255	235	190	OSM-J
15200301	255	235	190	Bois-de-Raube-Formation
15200302	255	235	190	Jura-Nagelfluh
15200303	255	235	190	Oehningien des Juragebirges
15200304	240	220	220	Combe-Girard-Bentonit
15200305	210	220	230	Vermes-Süsswasserkalk
15200306	245	235	180	Le-Locle-Gompholit
15200307	210	205	145	Obere Meeresmolasse (OMM)
15200308	225	210	145	OMM-II
15200309	225	210	145	St-Gallen-Formation
15200310	225	210	145	Staffelbach-Grobsandstein
15200311	205	210	140	OMM-I
15200312	205	210	140	Luzern-Formation
15200313	205	210	140	Safenwil-Muschelsandstein
15200314	220	200	180	Untere Süsswassermolasse (USM)
15200315	240	210	200	Höhronen-Nagelfluh
15200316	240	210	200	Kronberg-Nagelfluh
15200317	180	140	95	Cornalle-Sandstein
15200318	180	140	95	Mont-Pèlerin-Nagelfluh
15200319	180	140	95	Speer-Formation
15200320	200	160	115	Thun-Formation
15200321	200	160	115	Gunten-Nagelfluh
15200322	180	140	95	Rigi-Formation
15200323	180	140	95	Scheidegg-Nagelfluh
15200324	180	140	95	Bunte Rigi-Nagelfluh
15200325	180	140	95	Radiolaritreiche Nagelfluh
15200326	230	220	210	USM-III
15200327	230	220	210	Sommersberg-Nagelfluh
15200328	230	220	210	Brendenbach-Mergel
15200329	240	210	200	USM-II
15200330	240	210	200	Formation der Granitischen Molasse
15200331	240	210	200	Oberaquitane Mergelzone
15200332	240	210	200	Molasse Grise de Lausanne
15200333	240	220	220	Bois-Genoud-Bentonit
15200334	240	210	200	Cuarny-Sandstein
15200335	200	160	115	USM-I
15200336	200	160	115	Grès et Marnes Gris à Gypse
15200337	150	125	100	Molasse à Charbon
15200338	200	150	100	Molasse Rouge
15200339	200	160	115	Heuboden-Äschitannen-Nagelfluh
15200340	200	150	100	Beichlen-Formation
15200341	250	230	140	USM-J
15200342	250	215	200	La-Chaux-Süsswasserkalk
15200343	250	240	130	Elsässer Molasse s.s.
15200344	250	250	175	Delémont-Süsswasserkalk
15200345	250	240	130	Matzendorf-Süsswasserkalk
15200346	250	240	130	Oensingen-Süsswasserkalk
15200347	225	200	100	Wynau-Süsswasserkalk
15200348	225	180	125	Untere Meeresmolasse (UMM)
